Marca temporal,platillo 
2/5/2024 16:05:35,nacatamal
2/5/2024 16:05:35,fritanga
2/5/2024 16:05:36,fritanga
2/5/2024 16:05:38,nacatamal
2/5/2024 16:05:38,fritanga
2/5/2024 16:05:38,Baho
2/5/2024 16:05:39,nacatamal
2/5/2024 16:05:40,enchilada
2/5/2024 16:05:41,fritanga
2/5/2024 16:05:42,Baho
2/5/2024 16:05:42,fritanga
2/5/2024 16:05:43,nacatamal
2/5/2024 16:05:43,Baho
2/5/2024 16:05:44,nacatamal
2/5/2024 16:05:46,nacatamal
2/5/2024 16:05:46,Baho
2/5/2024 16:05:46,fritanga
2/5/2024 16:05:47,indio_viejo
2/5/2024 16:05:47,nacatamal
2/5/2024 16:05:48,fritanga
2/5/2024 16:05:48,Baho
2/5/2024 16:05:48,fritanga
2/5/2024 16:05:49,vigoron
2/5/2024 16:05:49,fritanga
2/5/2024 16:05:49,Quesillo
2/5/2024 16:05:51,vigoron
2/5/2024 16:05:51,nacatamal
2/5/2024 16:05:51,Baho
2/5/2024 16:05:52,sopa_de_mondogo
2/5/2024 16:05:52,fritanga
2/5/2024 16:05:53,Baho
2/5/2024 16:05:53,fritanga
2/5/2024 16:05:53,Baho
2/5/2024 16:05:54,vigoron
2/5/2024 16:05:54,nacatamal
2/5/2024 16:05:55,enchilada
2/5/2024 16:05:55,fritanga
2/5/2024 16:05:56,vigoron
2/5/2024 16:05:56,Baho
2/5/2024 16:05:57,fritanga
2/5/2024 16:05:57,fritanga
2/5/2024 16:05:58,fritanga
2/5/2024 16:05:59,Quesillo
2/5/2024 16:05:59,indio_viejo
2/5/2024 16:05:59,nacatamal
2/5/2024 16:05:59,fritanga
2/5/2024 16:06:00,Baho
2/5/2024 16:06:00,fritanga
2/5/2024 16:06:01,fritanga
2/5/2024 16:06:01,enchilada
2/5/2024 16:06:01,Baho
2/5/2024 16:06:03,vigoron
2/5/2024 16:06:03,Quesillo
2/5/2024 16:06:03,fritanga
2/5/2024 16:06:03,Baho
2/5/2024 16:06:03,fritanga
2/5/2024 16:06:04,nacatamal
2/5/2024 16:06:04,vigoron
2/5/2024 16:06:05,Baho
2/5/2024 16:06:06,fritanga
2/5/2024 16:06:06,fritanga
2/5/2024 16:06:07,nacatamal
2/5/2024 16:06:07,fritanga
2/5/2024 16:06:07,Baho
2/5/2024 16:06:07,fritanga
2/5/2024 16:06:07,nacatamal
2/5/2024 16:06:08,enchilada
2/5/2024 16:06:09,Quesillo
2/5/2024 16:06:10,vigoron
2/5/2024 16:06:11,enchilada
2/5/2024 16:06:12,nacatamal
2/5/2024 16:06:12,Quesillo
2/5/2024 16:06:12,fritanga
2/5/2024 16:06:12,sopa_de_mondogo
2/5/2024 16:06:12,Quesillo
2/5/2024 16:06:13,Baho
2/5/2024 16:06:14,Quesillo
2/5/2024 16:06:14,fritanga
2/5/2024 16:06:15,enchilada
2/5/2024 16:06:16,fritanga
2/5/2024 16:06:16,nacatamal
2/5/2024 16:06:18,Quesillo
2/5/2024 16:06:18,Baho
2/5/2024 16:06:18,fritanga
2/5/2024 16:06:20,nacatamal
2/5/2024 16:06:20,fritanga
2/5/2024 16:06:20,vigoron
2/5/2024 16:06:21,enchilada
2/5/2024 16:06:22,Quesillo
2/5/2024 16:06:24,fritanga
2/5/2024 16:06:24,nacatamal
2/5/2024 16:06:25,fritanga
2/5/2024 16:06:25,Quesillo
2/5/2024 16:06:27,Baho
2/5/2024 16:06:30,nacatamal
2/5/2024 16:06:30,Quesillo
